Full_name,skin_name,Quality,Exterior,Price
P250（StatTrak™） | X 射线 (久经沙场),P250（StatTrak™） | X 射线,受限,久经沙场,18.02
P250（StatTrak™） | X 射线 (略有磨损),P250（StatTrak™） | X 射线,受限,略有磨损,18.00
MAC-10 | 绝界之行 (崭新出厂),MAC-10 | 绝界之行,受限,崭新出厂,14.02
MAC-10 | 绝界之行 (久经沙场),MAC-10 | 绝界之行,受限,久经沙场,8.00
MAC-10 | 绝界之行 (破损不堪),MAC-10 | 绝界之行,受限,破损不堪,18.42
MAC-10 | 绝界之行 (战痕累累),MAC-10 | 绝界之行,受限,战痕累累,7.08
MAC-10 | 绝界之行 (略有磨损),MAC-10 | 绝界之行,受限,略有磨损,9.24
暗影双匕（★） | 枯焦之色 (崭新出厂),暗影双匕（★） | 枯焦之色,隐秘,崭新出厂,
暗影双匕（★） | 枯焦之色 (久经沙场),暗影双匕（★） | 枯焦之色,隐秘,久经沙场,618.26
暗影双匕（★） | 枯焦之色 (破损不堪),暗影双匕（★） | 枯焦之色,隐秘,破损不堪,
暗影双匕（★） | 枯焦之色 (战痕累累),暗影双匕（★） | 枯焦之色,隐秘,战痕累累,
暗影双匕（★） | 枯焦之色 (略有磨损),暗影双匕（★） | 枯焦之色,隐秘,略有磨损,721.00
蝴蝶刀（★） | 深红之网 (崭新出厂),蝴蝶刀（★） | 深红之网,隐秘,崭新出厂,58000.00
蝴蝶刀（★） | 深红之网 (久经沙场),蝴蝶刀（★） | 深红之网,隐秘,久经沙场,7320.00
蝴蝶刀（★） | 深红之网 (破损不堪),蝴蝶刀（★） | 深红之网,隐秘,破损不堪,6835.00
蝴蝶刀（★） | 深红之网 (战痕累累),蝴蝶刀（★） | 深红之网,隐秘,战痕累累,5639.00
蝴蝶刀（★） | 深红之网 (略有磨损),蝴蝶刀（★） | 深红之网,隐秘,略有磨损,15499.00
SCAR-20 | 溅射果酱 (崭新出厂),SCAR-20 | 溅射果酱,保密,崭新出厂,30000.00
SCAR-20 | 溅射果酱 (久经沙场),SCAR-20 | 溅射果酱,保密,久经沙场,61.00
SCAR-20 | 溅射果酱 (破损不堪),SCAR-20 | 溅射果酱,保密,破损不堪,189.50
SCAR-20 | 溅射果酱 (战痕累累),SCAR-20 | 溅射果酱,保密,战痕累累,300.00
SCAR-20 | 溅射果酱 (略有磨损),SCAR-20 | 溅射果酱,保密,略有磨损,320.00
PP-野牛（StatTrak™） | 太空猫 (崭新出厂),PP-野牛（StatTrak™） | 太空猫,受限,崭新出厂,22.41
PP-野牛（StatTrak™） | 太空猫 (久经沙场),PP-野牛（StatTrak™） | 太空猫,受限,久经沙场,3.45
PP-野牛（StatTrak™） | 太空猫 (破损不堪),PP-野牛（StatTrak™） | 太空猫,受限,破损不堪,4.62
PP-野牛（StatTrak™） | 太空猫 (战痕累累),PP-野牛（StatTrak™） | 太空猫,受限,战痕累累,3.61
PP-野牛（StatTrak™） | 太空猫 (略有磨损),PP-野牛（StatTrak™） | 太空猫,受限,略有磨损,11.00
P250（StatTrak™） | 炼狱小镇 (崭新出厂),P250（StatTrak™） | 炼狱小镇,受限,崭新出厂,26.63
P250（StatTrak™） | 炼狱小镇 (久经沙场),P250（StatTrak™） | 炼狱小镇,受限,久经沙场,8.29
P250（StatTrak™） | 炼狱小镇 (破损不堪),P250（StatTrak™） | 炼狱小镇,受限,破损不堪,17.72
P250（StatTrak™） | 炼狱小镇 (战痕累累),P250（StatTrak™） | 炼狱小镇,受限,战痕累累,8.15
P250（StatTrak™） | 炼狱小镇 (略有磨损),P250（StatTrak™） | 炼狱小镇,受限,略有磨损,19.04
暗影双匕（★） | 人工染色 (崭新出厂),暗影双匕（★） | 人工染色,隐秘,崭新出厂,1258.00
暗影双匕（★） | 人工染色 (久经沙场),暗影双匕（★） | 人工染色,隐秘,久经沙场,720.00
暗影双匕（★） | 人工染色 (破损不堪),暗影双匕（★） | 人工染色,隐秘,破损不堪,899.00
暗影双匕（★） | 人工染色 (战痕累累),暗影双匕（★） | 人工染色,隐秘,战痕累累,710.00
暗影双匕（★） | 人工染色 (略有磨损),暗影双匕（★） | 人工染色,隐秘,略有磨损,770.00
蝴蝶刀（★） | 伽玛多普勒 (崭新出厂),蝴蝶刀（★） | 伽玛多普勒,隐秘,崭新出厂,14299.99
蝴蝶刀（★） | 伽玛多普勒 (略有磨损),蝴蝶刀（★） | 伽玛多普勒,隐秘,略有磨损,17000.00
AWP | 电子蜂巢 (崭新出厂),AWP | 电子蜂巢,保密,崭新出厂,494.30
AWP | 电子蜂巢 (久经沙场),AWP | 电子蜂巢,保密,久经沙场,224.59
AWP | 电子蜂巢 (破损不堪),AWP | 电子蜂巢,保密,破损不堪,10000.00
AWP | 电子蜂巢 (略有磨损),AWP | 电子蜂巢,保密,略有磨损,310.00
FN57 | 紫藤老树 (崭新出厂),FN57 | 紫藤老树,工业级,崭新出厂,17.57
FN57 | 紫藤老树 (久经沙场),FN57 | 紫藤老树,工业级,久经沙场,16.96
FN57 | 紫藤老树 (破损不堪),FN57 | 紫藤老树,工业级,破损不堪,
FN57 | 紫藤老树 (战痕累累),FN57 | 紫藤老树,工业级,战痕累累,19.70
FN57 | 紫藤老树 (略有磨损),FN57 | 紫藤老树,工业级,略有磨损,16.90
MP9（StatTrak™） | 焦油缠绕 (崭新出厂),MP9（StatTrak™） | 焦油缠绕,受限,崭新出厂,22.67
MP9（StatTrak™） | 焦油缠绕 (久经沙场),MP9（StatTrak™） | 焦油缠绕,受限,久经沙场,5.76
MP9（StatTrak™） | 焦油缠绕 (破损不堪),MP9（StatTrak™） | 焦油缠绕,受限,破损不堪,7.82
MP9（StatTrak™） | 焦油缠绕 (战痕累累),MP9（StatTrak™） | 焦油缠绕,受限,战痕累累,5.69
MP9（StatTrak™） | 焦油缠绕 (略有磨损),MP9（StatTrak™） | 焦油缠绕,受限,略有磨损,9.90
折刀（★） | 夜色 (崭新出厂),折刀（★） | 夜色,隐秘,崭新出厂,1150.00
折刀（★） | 夜色 (久经沙场),折刀（★） | 夜色,隐秘,久经沙场,590.00
折刀（★） | 夜色 (破损不堪),折刀（★） | 夜色,隐秘,破损不堪,1097.90
折刀（★） | 夜色 (战痕累累),折刀（★） | 夜色,隐秘,战痕累累,
折刀（★） | 夜色 (略有磨损),折刀（★） | 夜色,隐秘,略有磨损,740.00
蝴蝶刀（★ StatTrak™） | 深红之网 (崭新出厂),蝴蝶刀（★ StatTrak™） | 深红之网,隐秘,崭新出厂,
蝴蝶刀（★ StatTrak™） | 深红之网 (久经沙场),蝴蝶刀（★ StatTrak™） | 深红之网,隐秘,久经沙场,7620.00
蝴蝶刀（★ StatTrak™） | 深红之网 (破损不堪),蝴蝶刀（★ StatTrak™） | 深红之网,隐秘,破损不堪,7200.00
蝴蝶刀（★ StatTrak™） | 深红之网 (战痕累累),蝴蝶刀（★ StatTrak™） | 深红之网,隐秘,战痕累累,5749.00
蝴蝶刀（★ StatTrak™） | 深红之网 (略有磨损),蝴蝶刀（★ StatTrak™） | 深红之网,隐秘,略有磨损,
M4A4（StatTrak™） | X 射线 (崭新出厂),M4A4（StatTrak™） | X 射线,隐秘,崭新出厂,624.97
M4A4（StatTrak™） | X 射线 (久经沙场),M4A4（StatTrak™） | X 射线,隐秘,久经沙场,235.00
M4A4（StatTrak™） | X 射线 (略有磨损),M4A4（StatTrak™） | X 射线,隐秘,略有磨损,327.54
格洛克 18 型 | 皇家军团 (崭新出厂),格洛克 18 型 | 皇家军团,受限,崭新出厂,43.00
格洛克 18 型 | 皇家军团 (久经沙场),格洛克 18 型 | 皇家军团,受限,久经沙场,12.36
