Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-6 9:24,蝴蝶刀（★） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,6700,当前在售(133)
2023-6-6 9:24,蝴蝶刀（★） | 澄澈之水 (破损不堪),隐秘,★,匕首,破损不堪,5800,当前在售(133)
2023-6-6 9:24,蝴蝶刀（★） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,5554.99,当前在售(133)
2023-6-6 9:24,UMP-45（StatTrak™） | 野蛮剑齿虎 (略有磨损) ,保密,StatTrak™,微型冲锋枪,略有磨损,59.5,当前在售(113)
2023-6-6 9:24,UMP-45（StatTrak™） | 野蛮剑齿虎 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,170,当前在售(113)
2023-6-6 9:24,UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,28.86,当前在售(113)
2023-6-6 9:24,UMP-45（StatTrak™） | 野蛮剑齿虎 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,32.16,当前在售(113)
2023-6-6 9:24,UMP-45（StatTrak™） | 野蛮剑齿虎 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,24.2,当前在售(113)
2023-6-6 9:24,P2000（StatTrak™） | 珊瑚树 (略有磨损) ,保密,StatTrak™,手枪,略有磨损,94.8,当前在售(32)
2023-6-6 9:24,P2000（StatTrak™） | 珊瑚树 (崭新出厂),保密,StatTrak™,手枪,崭新出厂,325,当前在售(32)
2023-6-6 9:24,P2000（StatTrak™） | 珊瑚树 (久经沙场),保密,StatTrak™,手枪,久经沙场,67.21,当前在售(32)
2023-6-6 9:24,UMP-45（StatTrak™） | 支架 (略有磨损) ,受限,StatTrak™,微型冲锋枪,略有磨损,21,当前在售(92)
2023-6-6 9:24,UMP-45（StatTrak™） | 支架 (崭新出厂),受限,StatTrak™,微型冲锋枪,崭新出厂,42.79,当前在售(92)
2023-6-6 9:24,UMP-45（StatTrak™） | 支架 (久经沙场),受限,StatTrak™,微型冲锋枪,久经沙场,14.09,当前在售(92)
2023-6-6 9:24,UMP-45（StatTrak™） | 支架 (破损不堪),受限,StatTrak™,微型冲锋枪,破损不堪,13.37,当前在售(92)
2023-6-6 9:24,UMP-45（StatTrak™） | 支架 (战痕累累),受限,StatTrak™,微型冲锋枪,战痕累累,11.06,当前在售(92)
2023-6-6 9:24,SG 553 | 锈蚀之刃 (略有磨损) ,军规级,普通,步枪,略有磨损,0.73,当前在售(1000+)
2023-6-6 9:24,SG 553 | 锈蚀之刃 (崭新出厂),军规级,普通,步枪,崭新出厂,1.46,当前在售(1000+)
2023-6-6 9:24,SG 553 | 锈蚀之刃 (久经沙场),军规级,普通,步枪,久经沙场,0.4,当前在售(1000+)
2023-6-6 9:24,SG 553 | 锈蚀之刃 (破损不堪),军规级,普通,步枪,破损不堪,0.41,当前在售(1000+)
2023-6-6 9:24,SG 553 | 锈蚀之刃 (战痕累累),军规级,普通,步枪,战痕累累,0.35,当前在售(1000+)
2023-6-6 9:24,蝴蝶刀（★） | 都市伪装 (略有磨损) ,隐秘,★,匕首,略有磨损,5435,当前在售(129)
2023-6-6 9:24,蝴蝶刀（★） | 都市伪装 (崭新出厂),隐秘,★,匕首,崭新出厂,7700.51,当前在售(129)
2023-6-6 9:24,蝴蝶刀（★） | 都市伪装 (久经沙场),隐秘,★,匕首,久经沙场,4392.2,当前在售(129)
