Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-2 20:18,SG 553 | 黯翼 (略有磨损) ,受限,普通,步枪,略有磨损,4.93,当前在售(905)
2023-6-2 20:18,SG 553 | 黯翼 (崭新出厂),受限,普通,步枪,崭新出厂,12.59,当前在售(905)
2023-6-2 20:18,SG 553 | 黯翼 (久经沙场),受限,普通,步枪,久经沙场,2.66,当前在售(905)
2023-6-2 20:18,SG 553 | 黯翼 (破损不堪),受限,普通,步枪,破损不堪,2.35,当前在售(905)
2023-6-2 20:18,SG 553 | 黯翼 (战痕累累),受限,普通,步枪,战痕累累,2.14,当前在售(905)
2023-6-2 20:18,P2000（StatTrak™） | 火灵 (略有磨损) ,隐秘,StatTrak™,手枪,略有磨损,455,当前在售(26)
2023-6-2 20:18,P2000（StatTrak™） | 火灵 (崭新出厂),隐秘,StatTrak™,手枪,崭新出厂,680,当前在售(26)
2023-6-2 20:18,P2000（StatTrak™） | 火灵 (久经沙场),隐秘,StatTrak™,手枪,久经沙场,237.5,当前在售(26)
2023-6-2 20:18,P2000（StatTrak™） | 火灵 (战痕累累),隐秘,StatTrak™,手枪,战痕累累,229.99,当前在售(26)
2023-6-2 20:18,UMP-45（StatTrak™） | 野孩子 (略有磨损) ,保密,StatTrak™,微型冲锋枪,略有磨损,192,当前在售(85)
2023-6-2 20:18,UMP-45（StatTrak™） | 野孩子 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,460,当前在售(85)
2023-6-2 20:18,UMP-45（StatTrak™） | 野孩子 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,84.9,当前在售(85)
2023-6-2 20:18,UMP-45（StatTrak™） | 野孩子 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,60.49,当前在售(85)
2023-6-2 20:18,UMP-45（StatTrak™） | 野孩子 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,44,当前在售(85)
2023-6-2 20:18,P2000 | 工业牧草 (略有磨损) ,工业级,普通,手枪,略有磨损,11.12,当前在售(18)
2023-6-2 20:18,P2000 | 工业牧草 (崭新出厂),工业级,普通,手枪,崭新出厂,38.05,当前在售(18)
2023-6-2 20:18,P2000 | 工业牧草 (久经沙场),工业级,普通,手枪,久经沙场,6.99,当前在售(18)
2023-6-2 20:18,P2000 | 工业牧草 (破损不堪),工业级,普通,手枪,破损不堪,7.4,当前在售(18)
2023-6-2 20:18,P2000 | 工业牧草 (战痕累累),工业级,普通,手枪,战痕累累,6,当前在售(18)
2023-6-2 20:18,蝴蝶刀（★） | 澄澈之水 (略有磨损) ,隐秘,★,匕首,略有磨损,7826,当前在售(135)
