Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-20 11:22,P2000（StatTrak™） | 珊瑚树 (久经沙场),保密,StatTrak™,手枪,久经沙场,73.59,当前在售(25)
2023-6-20 11:22,SG 553 | 黯翼 (略有磨损),受限,普通,步枪,略有磨损,4.53,当前在售(883)
2023-6-20 11:22,SG 553 | 黯翼 (崭新出厂),受限,普通,步枪,崭新出厂,12.19,当前在售(883)
2023-6-20 11:22,SG 553 | 黯翼 (久经沙场),受限,普通,步枪,久经沙场,2.57,当前在售(883)
2023-6-20 11:22,SG 553 | 黯翼 (破损不堪),受限,普通,步枪,破损不堪,2.23,当前在售(883)
2023-6-20 11:22,SG 553 | 黯翼 (战痕累累),受限,普通,步枪,战痕累累,2.17,当前在售(883)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 蓝钢 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,994.9,当前在售(4)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 蓝钢 (崭新出厂),隐秘,★,匕首,崭新出厂,1820,当前在售(4)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 蓝钢 (久经沙场),隐秘,★,匕首,久经沙场,900,当前在售(4)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 蓝钢 (破损不堪),隐秘,★,匕首,破损不堪,890,当前在售(4)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 蓝钢 (战痕累累),隐秘,★,匕首,战痕累累,999.5,当前在售(4)
2023-6-20 11:22,UMP-45（StatTrak™） | 迷幻 (略有磨损),军规级,StatTrak™,微型冲锋枪,略有磨损,7.71,当前在售(114)
2023-6-20 11:22,UMP-45（StatTrak™） | 迷幻 (崭新出厂),军规级,StatTrak™,微型冲锋枪,崭新出厂,31.8,当前在售(114)
2023-6-20 11:22,UMP-45（StatTrak™） | 迷幻 (久经沙场),军规级,StatTrak™,微型冲锋枪,久经沙场,5.99,当前在售(114)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 多普勒 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,11111,当前在售(1)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 多普勒 (崭新出厂),隐秘,★,匕首,崭新出厂,2218,当前在售(1)
2023-6-20 11:22,UMP-45（StatTrak™） | 野孩子 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,187.5,当前在售(125)
2023-6-20 11:22,UMP-45（StatTrak™） | 野孩子 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,381.76,当前在售(125)
2023-6-20 11:22,UMP-45（StatTrak™） | 野孩子 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,69.89,当前在售(125)
