Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-11 21:4,P2000（StatTrak™） | 珊瑚树 (久经沙场),保密,StatTrak™,手枪,久经沙场,75,当前在售(30)
2023-6-11 21:4,UMP-45（StatTrak™） | 野孩子 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,187.5,当前在售(113)
2023-6-11 21:4,UMP-45（StatTrak™） | 野孩子 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,418.97,当前在售(113)
2023-6-11 21:4,UMP-45（StatTrak™） | 野孩子 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,74,当前在售(113)
2023-6-11 21:4,UMP-45（StatTrak™） | 野孩子 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,59.54,当前在售(113)
2023-6-11 21:4,UMP-45（StatTrak™） | 野孩子 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,41.65,当前在售(113)
2023-6-11 21:4,P2000（StatTrak™） | 火灵 (略有磨损),隐秘,StatTrak™,手枪,略有磨损,440,当前在售(38)
2023-6-11 21:4,P2000（StatTrak™） | 火灵 (崭新出厂),隐秘,StatTrak™,手枪,崭新出厂,724.9,当前在售(38)
2023-6-11 21:4,P2000（StatTrak™） | 火灵 (久经沙场),隐秘,StatTrak™,手枪,久经沙场,260.49,当前在售(38)
2023-6-11 21:4,P2000（StatTrak™） | 火灵 (破损不堪),隐秘,StatTrak™,手枪,破损不堪,888.88,当前在售(38)
2023-6-11 21:4,P2000（StatTrak™） | 火灵 (战痕累累),隐秘,StatTrak™,手枪,战痕累累,230,当前在售(38)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自由之手 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1059.5,当前在售(6)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自由之手 (崭新出厂),隐秘,★,匕首,崭新出厂,1389.99,当前在售(6)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自由之手 (久经沙场),隐秘,★,匕首,久经沙场,949.5,当前在售(6)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自由之手 (破损不堪),隐秘,★,匕首,破损不堪,900,当前在售(6)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 自由之手 (战痕累累),隐秘,★,匕首,战痕累累,929,当前在售(6)
2023-6-11 21:4,UMP-45 | 色如焦糖 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,51.6,当前在售(71)
2023-6-11 21:4,UMP-45 | 色如焦糖 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,228.59,当前在售(71)
2023-6-11 21:4,UMP-45 | 色如焦糖 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,50.7,当前在售(71)
2023-6-11 21:4,UMP-45 | 色如焦糖 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,55,当前在售(71)
2023-6-11 21:4,UMP-45 | 色如焦糖 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,50,当前在售(71)
2023-6-11 21:4,P2000 | 工业牧草 (略有磨损),工业级,普通,手枪,略有磨损,11.99,当前在售(19)
2023-6-11 21:4,P2000 | 工业牧草 (崭新出厂),工业级,普通,手枪,崭新出厂,51.29,当前在售(19)
2023-6-11 21:4,P2000 | 工业牧草 (久经沙场),工业级,普通,手枪,久经沙场,7.24,当前在售(19)
2023-6-11 21:4,P2000 | 工业牧草 (破损不堪),工业级,普通,手枪,破损不堪,7.22,当前在售(19)
2023-6-11 21:4,P2000 | 工业牧草 (战痕累累),工业级,普通,手枪,战痕累累,5.88,当前在售(19)
2023-6-11 21:4,SG 553 | 锈蚀之刃 (略有磨损),军规级,普通,步枪,略有磨损,0.72,当前在售(1000+)
2023-6-11 21:4,SG 553 | 锈蚀之刃 (崭新出厂),军规级,普通,步枪,崭新出厂,1.39,当前在售(1000+)
2023-6-11 21:4,SG 553 | 锈蚀之刃 (久经沙场),军规级,普通,步枪,久经沙场,0.36,当前在售(1000+)
2023-6-11 21:4,SG 553 | 锈蚀之刃 (破损不堪),军规级,普通,步枪,破损不堪,0.32,当前在售(1000+)
2023-6-11 21:4,SG 553 | 锈蚀之刃 (战痕累累),军规级,普通,步枪,战痕累累,0.33,当前在售(1000+)
2023-6-11 21:4,蝴蝶刀（★） | 都市伪装 (略有磨损),隐秘,★,匕首,略有磨损,5340,当前在售(134)
2023-6-11 21:4,蝴蝶刀（★） | 都市伪装 (崭新出厂),隐秘,★,匕首,崭新出厂,7699,当前在售(134)
2023-6-11 21:4,蝴蝶刀（★） | 都市伪装 (久经沙场),隐秘,★,匕首,久经沙场,4359.5,当前在售(134)
2023-6-11 21:4,蝴蝶刀（★） | 都市伪装 (破损不堪),隐秘,★,匕首,破损不堪,4255.55,当前在售(134)
2023-6-11 21:4,蝴蝶刀（★） | 都市伪装 (战痕累累),隐秘,★,匕首,战痕累累,4229.5,当前在售(134)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 人工染色 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1100,当前在售(4)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 人工染色 (久经沙场),隐秘,★,匕首,久经沙场,729.5,当前在售(4)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 人工染色 (破损不堪),隐秘,★,匕首,破损不堪,720,当前在售(4)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 人工染色 (战痕累累),隐秘,★,匕首,战痕累累,886.97,当前在售(4)
2023-6-11 21:4,P2000 | 草原落叶 (略有磨损),工业级,普通,手枪,略有磨损,69,当前在售(17)
2023-6-11 21:4,P2000 | 草原落叶 (久经沙场),工业级,普通,手枪,久经沙场,47.49,当前在售(17)
2023-6-11 21:4,P2000 | 草原落叶 (破损不堪),工业级,普通,手枪,破损不堪,39.81,当前在售(17)
2023-6-11 21:4,P2000 | 草原落叶 (战痕累累),工业级,普通,手枪,战痕累累,36.69,当前在售(17)
2023-6-11 21:4,P2000 | 寻路者 (略有磨损),工业级,普通,手枪,略有磨损,87.6,当前在售(12)
2023-6-11 21:4,P2000 | 寻路者 (崭新出厂),工业级,普通,手枪,崭新出厂,92.8,当前在售(12)
2023-6-11 21:4,P2000 | 寻路者 (久经沙场),工业级,普通,手枪,久经沙场,81.77,当前在售(12)
2023-6-11 21:4,UMP-45 | 枯焦之色 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,2.16,当前在售(45)
2023-6-11 21:4,UMP-45 | 枯焦之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,25.26,当前在售(45)
2023-6-11 21:4,UMP-45 | 枯焦之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,0.99,当前在售(45)
2023-6-11 21:4,UMP-45 | 枯焦之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,1.19,当前在售(45)
2023-6-11 21:4,UMP-45 | 枯焦之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,1.72,当前在售(45)
2023-6-11 21:4,SG 553 | 军队之辉 (略有磨损),消费级,普通,步枪,略有磨损,0.17,当前在售(1000+)
2023-6-11 21:4,SG 553 | 军队之辉 (崭新出厂),消费级,普通,步枪,崭新出厂,0.42,当前在售(1000+)
2023-6-11 21:4,SG 553 | 军队之辉 (久经沙场),消费级,普通,步枪,久经沙场,0.2,当前在售(1000+)
2023-6-11 21:4,蝴蝶刀（★） | 自动化 (略有磨损),隐秘,★,匕首,略有磨损,13174.94,当前在售(130)
2023-6-11 21:4,蝴蝶刀（★） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,18900,当前在售(130)
2023-6-11 21:4,蝴蝶刀（★） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,10187.5,当前在售(130)
2023-6-11 21:4,蝴蝶刀（★） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,9599,当前在售(130)
2023-6-11 21:4,蝴蝶刀（★） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,7975,当前在售(130)
2023-6-11 21:4,P2000 | 致命红蝎 (略有磨损),受限,普通,手枪,略有磨损,89.2,当前在售(18)
2023-6-11 21:4,P2000 | 致命红蝎 (崭新出厂),受限,普通,手枪,崭新出厂,55.5,当前在售(18)
2023-6-11 21:4,UMP-45（StatTrak™） | 塑胶炸弹 (略有磨损),受限,StatTrak™,微型冲锋枪,略有磨损,15.99,当前在售(70)
2023-6-11 21:4,UMP-45（StatTrak™） | 塑胶炸弹 (崭新出厂),受限,StatTrak™,微型冲锋枪,崭新出厂,30,当前在售(70)
2023-6-11 21:4,UMP-45（StatTrak™） | 塑胶炸弹 (久经沙场),受限,StatTrak™,微型冲锋枪,久经沙场,7.97,当前在售(70)
2023-6-11 21:4,UMP-45（StatTrak™） | 塑胶炸弹 (破损不堪),受限,StatTrak™,微型冲锋枪,破损不堪,8.9,当前在售(70)
2023-6-11 21:4,UMP-45（StatTrak™） | 塑胶炸弹 (战痕累累),受限,StatTrak™,微型冲锋枪,战痕累累,6.1,当前在售(70)
2023-6-11 21:4,蝴蝶刀（★） | 噩梦之夜 (略有磨损),隐秘,★,匕首,略有磨损,7010,当前在售(123)
2023-6-11 21:4,蝴蝶刀（★） | 噩梦之夜 (崭新出厂),隐秘,★,匕首,崭新出厂,14186,当前在售(123)
2023-6-11 21:4,蝴蝶刀（★） | 噩梦之夜 (久经沙场),隐秘,★,匕首,久经沙场,5188,当前在售(123)
2023-6-11 21:4,蝴蝶刀（★） | 噩梦之夜 (破损不堪),隐秘,★,匕首,破损不堪,4800,当前在售(123)
2023-6-11 21:4,蝴蝶刀（★） | 噩梦之夜 (战痕累累),隐秘,★,匕首,战痕累累,4650,当前在售(123)
2023-6-11 21:4,P2000 | 林间猎者 (略有磨损),受限,普通,手枪,略有磨损,62.99,当前在售(24)
